"x"
11
11
11
11
11
11
8
11
11
11
10
12
11
11
10
11
11
18
15
18
15
17
15
16
18
15
16
19
15
18
16
17
16
15
32
25
27
24
28
24
25
26
28
24
31
28
27
27
26
28
27
-0.428571428571431
2.57142857142857
-3.42857142857143
1.57142857142857
1.57142857142857
-1.42857142857143
-0.428571428571431
0.571428571428569
0.571428571428569
-0.428571428571431
-2.42857142857143
-3.42857142857143
0.571428571428569
0.571428571428569
1.57142857142857
-0.428571428571431
-1.42857142857143
